category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Function	GO:0097159	79	6050	9606	9606.ENSP00000233893,9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246792,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268053,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000275364,9606.ENSP00000279873,9606.ENSP00000287598,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000306522,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000330349,9606.ENSP00000331040,9606.ENSP00000332353,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336752,9606.ENSP00000338934,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000354522,9606.ENSP00000356832,9606.ENSP00000357305,9606.ENSP00000358799,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000369897,9606.ENSP00000372023,9606.ENSP00000375899,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376786,9606.ENSP00000378699,9606.ENSP00000379616,9606.ENSP00000381097,9606.ENSP00000398698,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000410402,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000432511,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000498653	HSPE1,ELL2,EGR1,EGR2,H4C6,RRAS,SBDS,JUND,RRAS2,MDM2,BARD1,KLF3,TCF3,DGCR8,ATF2,POLQ,PATZ1,CDK2,CYP11A1,PML,NCOR1,ERBB2,GNA12,ARID5B,BUB1B,MERTK,WRN,HSPA4,FEN1,CAMTA1,RPTOR,RMI2,SUZ12,EZH2,EBF1,STK11,DDX41,OLIG2,PTCH1,H3C13,RAD51C,FIP1L1,EZR,FOXO3,RPL3,ARID4A,STAT4,ZNF429,TOP1,SGK1,RIT1,RBM15,PIM1,ID3,HSPA1L,GATA1,GATA3,DSP,CARS1,CHEK2,SP140,TFRC,SRSF2,POU2AF1,CDK1,MYH11,EPHB1,TNF,TBL1XR1,PBX1,MAP2K4,TOP2A,ZBTB20,TCEA1,JAK3,DDIT3,YAP1,HNRNPU,DEK	4.51e-11	2.23e-07	Organic cyclic compound binding
Function	GO:1901363	78	5977	9606	9606.ENSP00000233893,9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246792,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268053,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000275364,9606.ENSP00000279873,9606.ENSP00000287598,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000306522,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000330349,9606.ENSP00000331040,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336752,9606.ENSP00000338934,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000354522,9606.ENSP00000356832,9606.ENSP00000357305,9606.ENSP00000358799,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000369897,9606.ENSP00000372023,9606.ENSP00000375899,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376786,9606.ENSP00000378699,9606.ENSP00000379616,9606.ENSP00000381097,9606.ENSP00000398698,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000410402,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000432511,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000498653	HSPE1,ELL2,EGR1,EGR2,H4C6,RRAS,SBDS,JUND,RRAS2,MDM2,BARD1,KLF3,TCF3,DGCR8,ATF2,POLQ,PATZ1,CDK2,CYP11A1,PML,NCOR1,ERBB2,GNA12,ARID5B,BUB1B,MERTK,WRN,HSPA4,FEN1,CAMTA1,RPTOR,RMI2,SUZ12,EZH2,EBF1,STK11,DDX41,OLIG2,H3C13,RAD51C,FIP1L1,EZR,FOXO3,RPL3,ARID4A,STAT4,ZNF429,TOP1,SGK1,RIT1,RBM15,PIM1,ID3,HSPA1L,GATA1,GATA3,DSP,CARS1,CHEK2,SP140,TFRC,SRSF2,POU2AF1,CDK1,MYH11,EPHB1,TNF,TBL1XR1,PBX1,MAP2K4,TOP2A,ZBTB20,TCEA1,JAK3,DDIT3,YAP1,HNRNPU,DEK	7.35e-11	2.23e-07	Heterocyclic compound binding
Function	GO:0005488	121	12838	9606	9606.ENSP00000221972,9606.ENSP00000229135,9606.ENSP00000233893,9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246792,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000262662,9606.ENSP00000262741,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268053,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000274063,9606.ENSP00000275364,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000292782,9606.ENSP00000294129,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000305699,9606.ENSP00000306522,9606.ENSP00000306999,9606.ENSP00000307199,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000331040,9606.ENSP00000332353,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000338934,9606.ENSP00000339477,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347409,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000352798,9606.ENSP00000354522,9606.ENSP00000355812,9606.ENSP00000356379,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000358501,9606.ENSP00000358799,9606.ENSP00000360764,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000364589,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000369897,9606.ENSP00000371790,9606.ENSP00000372023,9606.ENSP00000375899,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000378699,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000381097,9606.ENSP00000383295,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000410402,9606.ENSP00000410481,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000431012,9606.ENSP00000432511,9606.ENSP00000441927,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000457991,9606.ENSP00000478927,9606.ENSP00000480428,9606.ENSP00000491215,9606.ENSP00000498653	CD79A,IFNG,HSPE1,ELL2,EGR1,EGR2,H4C6,RRAS,SBDS,JUND,RRAS2,MDM2,BARD1,KLF3,CDKN2C,PIK3R3,TCF3,DGCR8,BIRC3,ATF2,POLQ,PATZ1,CDK2,CYP11A1,PML,NCOR1,ERBB2,SFRP2,GNA12,AIP,ARID5B,JAZF1,BUB1B,DCUN1D1,NCKIPSD,MERTK,WRN,HSPA4,FEN1,HOOK3,CAMTA1,ESCO2,AHSP,RPTOR,RMI2,SUZ12,EZH2,FGF8,EBF1,STK11,CD28,DDX41,OLIG2,PTCH1,H3C13,RAD51C,HIP1,FIP1L1,EZR,ICOSLG,FOXO3,RPL3,KEL,ARID4A,STAT4,ZNF429,COL18A1,TOP1,FGFR1OP,ASPM,CDC73,SGK1,RIT1,SHOC2,CD58,RBM15,EGFL7,STIL,PIM1,ID3,CUL4A,HSPA1L,GATA1,GATA3,DSP,CARS1,FGF9,CHEK2,SP140,TFRC,SRSF2,CD79B,POU2AF1,CDK1,MYH11,ARHGEF12,EPHB1,NBEA,RPAIN,UBA52,PRF1,TNF,HLA-B,TBL1XR1,PBX1,FAT1,MAP2K4,LTB,TOP2A,ZBTB20,TCEA1,ARHGEF10,JAK3,SESN3,DDIT3,TCL1A,PHLPP2,YAP1,B4GALT3,HNRNPU,DEK	2.14e-10	3.52e-07	Binding
Function	GO:0005515	85	7242	9606	9606.ENSP00000221972,9606.ENSP00000229135,9606.ENSP00000233893,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000262662,9606.ENSP00000262741,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000274063,9606.ENSP00000275364,9606.ENSP00000279146,9606.ENSP00000292782,9606.ENSP00000294129,9606.ENSP00000298139,9606.ENSP00000305699,9606.ENSP00000307199,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000331040,9606.ENSP00000332353,9606.ENSP00000333277,9606.ENSP00000336747,9606.ENSP00000338934,9606.ENSP00000339477,9606.ENSP00000339527,9606.ENSP00000351255,9606.ENSP00000352798,9606.ENSP00000354522,9606.ENSP00000355812,9606.ENSP00000356379,9606.ENSP00000356405,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000358501,9606.ENSP00000360764,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000364589,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000369897,9606.ENSP00000371790,9606.ENSP00000372023,9606.ENSP00000376197,9606.ENSP00000376544,9606.ENSP00000378699,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000383295,9606.ENSP00000388107,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000410481,9606.ENSP00000411532,9606.ENSP00000431012,9606.ENSP00000432511,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000498653	CD79A,IFNG,HSPE1,EGR1,EGR2,H4C6,SBDS,JUND,MDM2,BARD1,CDKN2C,PIK3R3,TCF3,DGCR8,ATF2,POLQ,PATZ1,CDK2,PML,NCOR1,ERBB2,SFRP2,GNA12,AIP,DCUN1D1,NCKIPSD,WRN,HOOK3,AHSP,RPTOR,SUZ12,EZH2,FGF8,EBF1,STK11,CD28,OLIG2,PTCH1,H3C13,HIP1,EZR,ICOSLG,FOXO3,STAT4,COL18A1,TOP1,FGFR1OP,ASPM,CDC73,RIT1,SHOC2,CD58,EGFL7,STIL,PIM1,ID3,CUL4A,HSPA1L,GATA1,GATA3,DSP,CARS1,FGF9,CHEK2,TFRC,CD79B,CDK1,MYH11,ARHGEF12,NBEA,UBA52,PRF1,TNF,HLA-B,TBL1XR1,PBX1,LTB,TOP2A,ARHGEF10,JAK3,DDIT3,TCL1A,YAP1,HNRNPU,DEK	1.18e-09	1.46e-06	Protein binding
Function	GO:0003677	43	2498	9606	9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000279873,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000306522,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000331040,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000339527,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000354522,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000375899,9606.ENSP00000376786,9606.ENSP00000398698,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000498653	ELL2,EGR1,EGR2,H4C6,JUND,KLF3,TCF3,ATF2,POLQ,PATZ1,PML,NCOR1,ARID5B,WRN,FEN1,CAMTA1,RPTOR,RMI2,SUZ12,EZH2,EBF1,OLIG2,H3C13,RAD51C,FOXO3,ARID4A,STAT4,ZNF429,TOP1,GATA1,GATA3,SP140,POU2AF1,TNF,TBL1XR1,PBX1,TOP2A,ZBTB20,TCEA1,DDIT3,YAP1,HNRNPU,DEK	8e-09	7.89e-06	DNA binding
Function	GO:0003676	57	4003	9606	9606.ENSP00000233893,9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000279873,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000306522,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000330349,9606.ENSP00000331040,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336752,9606.ENSP00000338934,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000354522,9606.ENSP00000358799,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000369897,9606.ENSP00000375899,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376786,9606.ENSP00000398698,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000498653	HSPE1,ELL2,EGR1,EGR2,H4C6,SBDS,JUND,MDM2,BARD1,KLF3,TCF3,DGCR8,ATF2,POLQ,PATZ1,PML,NCOR1,ARID5B,WRN,FEN1,CAMTA1,RPTOR,RMI2,SUZ12,EZH2,EBF1,DDX41,OLIG2,H3C13,RAD51C,FIP1L1,EZR,FOXO3,RPL3,ARID4A,STAT4,ZNF429,TOP1,RBM15,GATA1,GATA3,DSP,CARS1,SP140,TFRC,SRSF2,POU2AF1,TNF,TBL1XR1,PBX1,TOP2A,ZBTB20,TCEA1,DDIT3,YAP1,HNRNPU,DEK	1.01e-08	8.33e-06	Nucleic acid binding
Function	GO:0008134	18	587	9606	9606.ENSP00000242480,9606.ENSP00000252818,9606.ENSP00000262965,9606.ENSP00000264110,9606.ENSP00000268712,9606.ENSP00000279146,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000339527,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000405890,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215	EGR2,JUND,TCF3,ATF2,NCOR1,AIP,RPTOR,SUZ12,EZH2,FOXO3,PIM1,ID3,GATA1,GATA3,PBX1,DDIT3,YAP1,HNRNPU	1.74e-07	0.00012	Transcription factor binding
Function	GO:0003690	31	1661	9606	9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000252818,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000264110,9606.ENSP00000266269,9606.ENSP00000268712,9606.ENSP00000279873,9606.ENSP00000305480,9606.ENSP00000306522,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000331040,9606.ENSP00000339527,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000354522,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000398698,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000419153,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215	ELL2,EGR1,EGR2,JUND,KLF3,TCF3,ATF2,PATZ1,NCOR1,ARID5B,FEN1,CAMTA1,RPTOR,SUZ12,EZH2,EBF1,OLIG2,FOXO3,ARID4A,STAT4,ZNF429,TOP1,GATA1,GATA3,TNF,TBL1XR1,PBX1,ZBTB20,DDIT3,YAP1,HNRNPU	3.25e-07	0.0002	Double-stranded DNA binding
Function	GO:0043565	31	1666	9606	9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000252818,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000264110,9606.ENSP00000266269,9606.ENSP00000268712,9606.ENSP00000279873,9606.ENSP00000298139,9606.ENSP00000306522,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000331040,9606.ENSP00000339527,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000354522,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000398698,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000419153,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215	ELL2,EGR1,EGR2,JUND,KLF3,TCF3,ATF2,PATZ1,NCOR1,ARID5B,WRN,CAMTA1,RPTOR,SUZ12,EZH2,EBF1,OLIG2,FOXO3,ARID4A,STAT4,ZNF429,TOP1,GATA1,GATA3,TNF,TBL1XR1,PBX1,ZBTB20,DDIT3,YAP1,HNRNPU	3.47e-07	0.0002	Sequence-specific DNA binding
Function	GO:0000976	29	1506	9606	9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000252818,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000264110,9606.ENSP00000266269,9606.ENSP00000268712,9606.ENSP00000279873,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000331040,9606.ENSP00000339527,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000354522,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000398698,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000419153,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215	ELL2,EGR1,EGR2,JUND,KLF3,TCF3,ATF2,PATZ1,NCOR1,ARID5B,RPTOR,SUZ12,EZH2,EBF1,OLIG2,FOXO3,ARID4A,STAT4,ZNF429,TOP1,GATA1,GATA3,TNF,TBL1XR1,PBX1,ZBTB20,DDIT3,YAP1,HNRNPU	4.54e-07	0.00022	Transcription cis-regulatory region binding
