category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
KEGG	hsa05166	12	210	9606	9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000262662,9606.ENSP00000262741,9606.ENSP00000262965,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000287598,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000410402,9606.ENSP00000432511	EGR1,EGR2,CDKN2C,PIK3R3,TCF3,ATF2,CDK2,BUB1B,TNF,HLA-B,MAP2K4,JAK3	4.3e-08	1.45e-05	Human T-cell leukemia virus 1 infection
KEGG	hsa05202	11	171	9606	9606.ENSP00000258149,9606.ENSP00000261438,9606.ENSP00000262662,9606.ENSP00000262965,9606.ENSP00000263464,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000333277,9606.ENSP00000378578,9606.ENSP00000405890,9606.ENSP00000448665	MDM2,KLF3,CDKN2C,TCF3,BIRC3,PML,NCOR1,H3C13,AFF1,PBX1,DDIT3	5.17e-08	1.45e-05	Transcriptional misregulation in cancer
KEGG	hsa04151	14	349	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000269571,9606.ENSP00000307272,9606.ENSP00000321797,9606.ENSP00000324856,9606.ENSP00000339527,9606.ENSP00000356832,9606.ENSP00000371790,9606.ENSP00000432511,9606.ENSP00000451506,9606.ENSP00000457991	MDM2,PIK3R3,ATF2,CDK2,ERBB2,RPTOR,FGF8,STK11,FOXO3,SGK1,FGF9,JAK3,TCL1A,PHLPP2	2.08e-07	2.33e-05	PI3K-Akt signaling pathway
KEGG	hsa04010	12	286	9606	9606.ENSP00000246792,9606.ENSP00000252818,9606.ENSP00000256196,9606.ENSP00000264110,9606.ENSP00000269571,9606.ENSP00000275364,9606.ENSP00000321797,9606.ENSP00000364805,9606.ENSP00000371790,9606.ENSP00000398698,9606.ENSP00000410402,9606.ENSP00000448665	RRAS,JUND,RRAS2,ATF2,ERBB2,GNA12,FGF8,HSPA1L,FGF9,TNF,MAP2K4,DDIT3	1.02e-06	8.6e-05	MAPK signaling pathway
KEGG	hsa05205	10	194	9606	9606.ENSP00000246792,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000269571,9606.ENSP00000332353,9606.ENSP00000338934,9606.ENSP00000380942,9606.ENSP00000398698	RRAS,RRAS2,MDM2,PIK3R3,GAB1,ERBB2,PTCH1,EZR,ARHGEF12,TNF	1.47e-06	9.85e-05	Proteoglycans in cancer
KEGG	hsa05200	15	515	9606	9606.ENSP00000229135,9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000263464,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000269571,9606.ENSP00000275364,9606.ENSP00000321797,9606.ENSP00000332353,9606.ENSP00000351255,9606.ENSP00000362608,9606.ENSP00000371790,9606.ENSP00000380942,9606.ENSP00000432511	IFNG,MDM2,PIK3R3,BIRC3,CDK2,PML,ERBB2,GNA12,FGF8,PTCH1,STAT4,PIM1,FGF9,ARHGEF12,JAK3	3.68e-06	0.00021	Pathways in cancer
KEGG	hsa04625	7	101	9606	9606.ENSP00000242480,9606.ENSP00000246792,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000380942,9606.ENSP00000398698	EGR2,RRAS,RRAS2,MDM2,PIK3R3,ARHGEF12,TNF	9.56e-06	0.00032	C-type lectin receptor signaling pathway
KEGG	hsa04940	5	38	9606	9606.ENSP00000229135,9606.ENSP00000324890,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000399168	IFNG,CD28,PRF1,TNF,HLA-B	1.1e-05	0.00032	Type I diabetes mellitus
KEGG	hsa05169	9	192	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000266970,9606.ENSP00000275015,9606.ENSP00000358501,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000410402,9606.ENSP00000432511	MDM2,PIK3R3,CDK2,NFKBIE,CD58,TNF,HLA-B,MAP2K4,JAK3	1.04e-05	0.00032	Epstein-Barr virus infection
KEGG	hsa05203	9	183	9606	9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000378699,9606.ENSP00000399168,9606.ENSP00000432511	EGR2,H4C6,MDM2,PIK3R3,ATF2,CDK2,CDK1,HLA-B,JAK3	7.19e-06	0.00032	Viral carcinogenesis
KEGG	hsa05330	5	34	9606	9606.ENSP00000229135,9606.ENSP00000324890,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000399168	IFNG,CD28,PRF1,TNF,HLA-B	6.72e-06	0.00032	Allograft rejection
KEGG	hsa05332	5	36	9606	9606.ENSP00000229135,9606.ENSP00000324890,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000399168	IFNG,CD28,PRF1,TNF,HLA-B	8.65e-06	0.00032	Graft-versus-host disease
KEGG	hsa04218	8	150	9606	9606.ENSP00000246792,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000266970,9606.ENSP00000339527,9606.ENSP00000378699,9606.ENSP00000399168	RRAS,RRAS2,MDM2,PIK3R3,CDK2,FOXO3,CDK1,HLA-B	1.35e-05	0.00035	Cellular senescence
KEGG	hsa04810	9	209	9606	9606.ENSP00000246792,9606.ENSP00000256196,9606.ENSP00000262741,9606.ENSP00000275364,9606.ENSP00000321797,9606.ENSP00000338934,9606.ENSP00000371790,9606.ENSP00000379616,9606.ENSP00000380942	RRAS,RRAS2,PIK3R3,GNA12,FGF8,EZR,FGF9,MYH11,ARHGEF12	1.99e-05	0.00046	Regulation of actin cytoskeleton
KEGG	hsa05161	8	158	9606	9606.ENSP00000242480,9606.ENSP00000262741,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000351255,9606.ENSP00000398698,9606.ENSP00000410402,9606.ENSP00000432511	EGR2,PIK3R3,ATF2,CDK2,STAT4,TNF,MAP2K4,JAK3	1.93e-05	0.00046	Hepatitis B
KEGG	hsa04211	6	87	9606	9606.ENSP00000262741,9606.ENSP00000264110,9606.ENSP00000307272,9606.ENSP00000324856,9606.ENSP00000339527,9606.ENSP00000441927	PIK3R3,ATF2,RPTOR,STK11,FOXO3,SESN3	4.35e-05	0.00091	Longevity regulating pathway
KEGG	hsa05321	5	59	9606	9606.ENSP00000229135,9606.ENSP00000338010,9606.ENSP00000351255,9606.ENSP00000368632,9606.ENSP00000398698	IFNG,IL21R,STAT4,GATA3,TNF	7.76e-05	0.0015	Inflammatory bowel disease
KEGG	hsa04660	6	100	9606	9606.ENSP00000229135,9606.ENSP00000262741,9606.ENSP00000275015,9606.ENSP00000324890,9606.ENSP00000398698,9606.ENSP00000497102	IFNG,PIK3R3,NFKBIE,CD28,TNF,CTLA4	9.05e-05	0.0017	T cell receptor signaling pathway
KEGG	hsa04612	5	64	9606	9606.ENSP00000229135,9606.ENSP00000302961,9606.ENSP00000364805,9606.ENSP00000398698,9606.ENSP00000399168	IFNG,HSPA4,HSPA1L,TNF,HLA-B	0.00011	0.002	Antigen processing and presentation
KEGG	hsa05206	7	159	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000269571,9606.ENSP00000307272,9606.ENSP00000320147,9606.ENSP00000338934,9606.ENSP00000362608	MDM2,PIK3R3,ERBB2,RPTOR,EZH2,EZR,PIM1	0.00015	0.0025	MicroRNAs in cancer
KEGG	hsa01524	5	70	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000263464,9606.ENSP00000269571,9606.ENSP00000411532	MDM2,PIK3R3,BIRC3,ERBB2,TOP2A	0.00017	0.0026	Platinum drug resistance
KEGG	hsa04650	6	120	9606	9606.ENSP00000229135,9606.ENSP00000262741,9606.ENSP00000360181,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000399168	IFNG,PIK3R3,SH2D1A,PRF1,TNF,HLA-B	0.00023	0.0036	Natural killer cell mediated cytotoxicity
KEGG	hsa04068	6	126	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000266970,9606.ENSP00000324856,9606.ENSP00000339527,9606.ENSP00000356832	MDM2,PIK3R3,CDK2,STK11,FOXO3,SGK1	0.0003	0.0044	FoxO signaling pathway
KEGG	hsa05323	5	83	9606	9606.ENSP00000229135,9606.ENSP00000324890,9606.ENSP00000398698,9606.ENSP00000410481,9606.ENSP00000497102	IFNG,CD28,TNF,LTB,CTLA4	0.00035	0.0049	Rheumatoid arthritis
KEGG	hsa04658	5	85	9606	9606.ENSP00000229135,9606.ENSP00000275015,9606.ENSP00000351255,9606.ENSP00000368632,9606.ENSP00000432511	IFNG,NFKBIE,STAT4,GATA3,JAK3	0.00039	0.0052	Th1 and Th2 cell differentiation
KEGG	hsa05320	4	48	9606	9606.ENSP00000324890,9606.ENSP00000398568,9606.ENSP00000399168,9606.ENSP00000497102	CD28,PRF1,HLA-B,CTLA4	0.00044	0.0057	Autoimmune thyroid disease
KEGG	hsa01522	5	94	9606	9606.ENSP00000258149,9606.ENSP00000262662,9606.ENSP00000262741,9606.ENSP00000268712,9606.ENSP00000269571	MDM2,CDKN2C,PIK3R3,NCOR1,ERBB2	0.0006	0.0075	Endocrine resistance
KEGG	hsa05226	6	146	9606	9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000266970,9606.ENSP00000269571,9606.ENSP00000321797,9606.ENSP00000371790	PIK3R3,GAB1,CDK2,ERBB2,FGF8,FGF9	0.00064	0.0075	Gastric cancer
KEGG	hsa05322	5	94	9606	9606.ENSP00000229135,9606.ENSP00000244537,9606.ENSP00000324890,9606.ENSP00000333277,9606.ENSP00000398698	IFNG,H4C6,CD28,H3C13,TNF	0.0006	0.0075	Systemic lupus erythematosus
KEGG	hsa04659	5	99	9606	9606.ENSP00000229135,9606.ENSP00000275015,9606.ENSP00000338010,9606.ENSP00000368632,9606.ENSP00000432511	IFNG,NFKBIE,IL21R,GATA3,JAK3	0.00075	0.0084	Th17 cell differentiation
KEGG	hsa04934	6	153	9606	9606.ENSP00000262662,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000268053,9606.ENSP00000279146,9606.ENSP00000405890	CDKN2C,ATF2,CDK2,CYP11A1,AIP,PBX1	0.00081	0.0087	Cushing syndrome
KEGG	hsa04630	6	158	9606	9606.ENSP00000229135,9606.ENSP00000262741,9606.ENSP00000338010,9606.ENSP00000351255,9606.ENSP00000362608,9606.ENSP00000432511	IFNG,PIK3R3,IL21R,STAT4,PIM1,JAK3	0.00095	0.0095	JAK-STAT signaling pathway
KEGG	hsa04928	5	104	9606	9606.ENSP00000239938,9606.ENSP00000252818,9606.ENSP00000264110,9606.ENSP00000275364,9606.ENSP00000368632	EGR1,JUND,ATF2,GNA12,GATA3	0.00093	0.0095	Parathyroid hormone synthesis, secretion and action
KEGG	hsa05131	7	218	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000307272,9606.ENSP00000333277,9606.ENSP00000339527,9606.ENSP00000388107,9606.ENSP00000398698	MDM2,PIK3R3,RPTOR,H3C13,FOXO3,UBA52,TNF	0.00093	0.0095	Shigellosis
KEGG	hsa05163	7	217	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000264110,9606.ENSP00000275364,9606.ENSP00000380942,9606.ENSP00000398698,9606.ENSP00000399168	MDM2,PIK3R3,ATF2,GNA12,ARHGEF12,TNF,HLA-B	0.00091	0.0095	Human cytomegalovirus infection
KEGG	hsa04213	4	61	9606	9606.ENSP00000262741,9606.ENSP00000307272,9606.ENSP00000339527,9606.ENSP00000364805	PIK3R3,RPTOR,FOXO3,HSPA1L	0.001	0.0097	Longevity regulating pathway - multiple species
KEGG	hsa04014	7	225	9606	9606.ENSP00000246792,9606.ENSP00000256196,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000321797,9606.ENSP00000358464,9606.ENSP00000371790	RRAS,RRAS2,PIK3R3,GAB1,FGF8,SHOC2,FGF9	0.0011	0.0101	Ras signaling pathway
KEGG	hsa04137	4	64	9606	9606.ENSP00000246792,9606.ENSP00000256196,9606.ENSP00000339527,9606.ENSP00000388107	RRAS,RRAS2,FOXO3,UBA52	0.0012	0.0108	Mitophagy - animal
KEGG	hsa04668	5	111	9606	9606.ENSP00000262741,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000398698,9606.ENSP00000410402	PIK3R3,BIRC3,ATF2,TNF,MAP2K4	0.0012	0.0108	TNF signaling pathway
KEGG	hsa05223	4	68	9606	9606.ENSP00000262741,9606.ENSP00000269571,9606.ENSP00000339527,9606.ENSP00000432511	PIK3R3,ERBB2,FOXO3,JAK3	0.0015	0.0127	Non-small cell lung cancer
KEGG	hsa04110	5	120	9606	9606.ENSP00000258149,9606.ENSP00000262662,9606.ENSP00000266970,9606.ENSP00000287598,9606.ENSP00000378699	MDM2,CDKN2C,CDK2,BUB1B,CDK1	0.0017	0.014	Cell cycle
KEGG	hsa04115	4	72	9606	9606.ENSP00000258149,9606.ENSP00000266970,9606.ENSP00000378699,9606.ENSP00000441927	MDM2,CDK2,CDK1,SESN3	0.0019	0.0148	p53 signaling pathway
KEGG	hsa05218	4	72	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000321797,9606.ENSP00000371790	MDM2,PIK3R3,FGF8,FGF9	0.0019	0.0148	Melanoma
KEGG	hsa01521	4	77	9606	9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000269571,9606.ENSP00000339527	PIK3R3,GAB1,ERBB2,FOXO3	0.0023	0.0179	EGFR tyrosine kinase inhibitor resistance
KEGG	hsa04140	5	131	9606	9606.ENSP00000246792,9606.ENSP00000256196,9606.ENSP00000262741,9606.ENSP00000307272,9606.ENSP00000324856	RRAS,RRAS2,PIK3R3,RPTOR,STK11	0.0025	0.0183	Autophagy - animal
KEGG	hsa04210	5	131	9606	9606.ENSP00000262741,9606.ENSP00000263464,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000448665	PIK3R3,BIRC3,PRF1,TNF,DDIT3	0.0025	0.0183	Apoptosis
KEGG	hsa04662	4	78	9606	9606.ENSP00000221972,9606.ENSP00000262741,9606.ENSP00000275015,9606.ENSP00000376544	CD79A,PIK3R3,NFKBIE,CD79B	0.0024	0.0183	B cell receptor signaling pathway
KEGG	hsa04120	5	134	9606	9606.ENSP00000258149,9606.ENSP00000263464,9606.ENSP00000268058,9606.ENSP00000364589,9606.ENSP00000388107	MDM2,BIRC3,PML,CUL4A,UBA52	0.0027	0.019	Ubiquitin mediated proteolysis
KEGG	hsa04012	4	81	9606	9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000269571,9606.ENSP00000410402	PIK3R3,GAB1,ERBB2,MAP2K4	0.0028	0.0191	ErbB signaling pathway
KEGG	hsa05162	5	137	9606	9606.ENSP00000262741,9606.ENSP00000266970,9606.ENSP00000324890,9606.ENSP00000364805,9606.ENSP00000432511	PIK3R3,CDK2,CD28,HSPA1L,JAK3	0.003	0.02	Measles
KEGG	hsa05235	4	87	9606	9606.ENSP00000229135,9606.ENSP00000262741,9606.ENSP00000275015,9606.ENSP00000324890	IFNG,PIK3R3,NFKBIE,CD28	0.0036	0.0235	PD-L1 expression and PD-1 checkpoint pathway in cancer
KEGG	hsa04072	5	147	9606	9606.ENSP00000246792,9606.ENSP00000256196,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000275364	RRAS,RRAS2,PIK3R3,GAB1,GNA12	0.004	0.0258	Phospholipase D signaling pathway
KEGG	hsa04217	5	147	9606	9606.ENSP00000229135,9606.ENSP00000263464,9606.ENSP00000351255,9606.ENSP00000398698,9606.ENSP00000432511	IFNG,BIRC3,STAT4,TNF,JAK3	0.004	0.0258	Necroptosis
KEGG	hsa04150	5	150	9606	9606.ENSP00000262741,9606.ENSP00000307272,9606.ENSP00000324856,9606.ENSP00000356832,9606.ENSP00000398698	PIK3R3,RPTOR,STK11,SGK1,TNF	0.0043	0.0269	mTOR signaling pathway
KEGG	hsa04933	4	96	9606	9606.ENSP00000239938,9606.ENSP00000262741,9606.ENSP00000362608,9606.ENSP00000398698	EGR1,PIK3R3,PIM1,TNF	0.005	0.0305	AGE-RAGE signaling pathway in diabetic complications
KEGG	hsa04530	5	157	9606	9606.ENSP00000269571,9606.ENSP00000302961,9606.ENSP00000324856,9606.ENSP00000338934,9606.ENSP00000379616	ERBB2,HSPA4,STK11,EZR,MYH11	0.0052	0.031	Tight junction
KEGG	hsa05142	4	97	9606	9606.ENSP00000229135,9606.ENSP00000262741,9606.ENSP00000398698,9606.ENSP00000410402	IFNG,PIK3R3,TNF,MAP2K4	0.0052	0.031	Chagas disease
KEGG	hsa05215	4	97	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000266970,9606.ENSP00000269571	MDM2,PIK3R3,CDK2,ERBB2	0.0052	0.031	Prostate cancer
KEGG	hsa04066	4	102	9606	9606.ENSP00000229135,9606.ENSP00000262741,9606.ENSP00000269571,9606.ENSP00000376197	IFNG,PIK3R3,ERBB2,TFRC	0.0061	0.0349	HIF-1 signaling pathway
KEGG	hsa05145	4	103	9606	9606.ENSP00000229135,9606.ENSP00000263464,9606.ENSP00000364805,9606.ENSP00000398698	IFNG,BIRC3,HSPA1L,TNF	0.0063	0.0355	Toxoplasmosis
KEGG	hsa05416	3	55	9606	9606.ENSP00000324890,9606.ENSP00000398568,9606.ENSP00000399168	CD28,PRF1,HLA-B	0.0074	0.0407	Viral myocarditis
KEGG	hsa04360	5	176	9606	9606.ENSP00000246792,9606.ENSP00000262741,9606.ENSP00000332353,9606.ENSP00000380942,9606.ENSP00000381097	RRAS,PIK3R3,PTCH1,ARHGEF12,EPHB1	0.0082	0.0447	Axon guidance
KEGG	hsa04722	4	112	9606	9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000275015,9606.ENSP00000339527	PIK3R3,GAB1,NFKBIE,FOXO3	0.0084	0.0447	Neurotrophin signaling pathway
KEGG	hsa05213	3	58	9606	9606.ENSP00000262741,9606.ENSP00000269571,9606.ENSP00000339527	PIK3R3,ERBB2,FOXO3	0.0085	0.0447	Endometrial cancer
