category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
RCTM	HSA-73857	37	1337	9606	9606.ENSP00000229135,9606.ENSP00000237853,9606.ENSP00000244537,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000298139,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000333277,9606.ENSP00000336752,9606.ENSP00000339527,9606.ENSP00000351280,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000372023,9606.ENSP00000376276,9606.ENSP00000378699,9606.ENSP00000388107,9606.ENSP00000405574,9606.ENSP00000428426,9606.ENSP00000441927,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000497102,9606.ENSP00000498653	IFNG,ELL2,H4C6,MDM2,BARD1,TCF3,DGCR8,ATF2,CDK2,PML,NCOR1,ERBB2,WRN,RPTOR,RMI2,SUZ12,EZH2,STK11,H3C13,FIP1L1,FOXO3,ZNF429,CDC73,SGK1,GATA1,GATA3,CHEK2,SRSF2,CDK1,UBA52,TBL1XR1,TCEA1,SESN3,DDIT3,YAP1,CTLA4,DEK	2.72e-13	6.2e-10	RNA Polymerase II Transcription
RCTM	HSA-162582	50	2540	9606	9606.ENSP00000233893,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000274063,9606.ENSP00000275364,9606.ENSP00000287598,9606.ENSP00000294129,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000332353,9606.ENSP00000333277,9606.ENSP00000339527,9606.ENSP00000347409,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000363689,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000371790,9606.ENSP00000376197,9606.ENSP00000378699,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000383295,9606.ENSP00000388107,9606.ENSP00000398698,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000431012,9606.ENSP00000432511,9606.ENSP00000457991,9606.ENSP00000478927	HSPE1,EGR1,EGR2,H4C6,JUND,RRAS2,MDM2,PIK3R3,GAB1,BIRC3,ATF2,CDK2,PML,NCOR1,ERBB2,SFRP2,GNA12,BUB1B,NCKIPSD,RPTOR,SUZ12,EZH2,FGF8,STK11,CD28,PTCH1,H3C13,FOXO3,KEL,CDC73,SGK1,RIT1,SHOC2,ID3,GATA3,DSP,FGF9,TFRC,CDK1,MYH11,ARHGEF12,NBEA,UBA52,TNF,TBL1XR1,PBX1,ARHGEF10,JAK3,PHLPP2,YAP1	1.95e-12	2.22e-09	Signal Transduction
RCTM	HSA-212436	33	1215	9606	9606.ENSP00000229135,9606.ENSP00000244537,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000298139,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000333277,9606.ENSP00000339527,9606.ENSP00000351280,9606.ENSP00000356832,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000372023,9606.ENSP00000378699,9606.ENSP00000388107,9606.ENSP00000405574,9606.ENSP00000428426,9606.ENSP00000441927,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000497102,9606.ENSP00000498653	IFNG,H4C6,MDM2,BARD1,TCF3,DGCR8,ATF2,CDK2,PML,NCOR1,ERBB2,WRN,RPTOR,RMI2,SUZ12,EZH2,STK11,H3C13,FOXO3,ZNF429,SGK1,GATA1,GATA3,CHEK2,CDK1,UBA52,TBL1XR1,TCEA1,SESN3,DDIT3,YAP1,CTLA4,DEK	1.18e-11	6.71e-09	Generic Transcription Pathway
RCTM	HSA-1643685	39	1702	9606	9606.ENSP00000221972,9606.ENSP00000244537,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000266970,9606.ENSP00000268053,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000294129,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000324890,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000355812,9606.ENSP00000358464,9606.ENSP00000362608,9606.ENSP00000369897,9606.ENSP00000371790,9606.ENSP00000376544,9606.ENSP00000388107,9606.ENSP00000399168,9606.ENSP00000405574,9606.ENSP00000410402,9606.ENSP00000410603,9606.ENSP00000428426,9606.ENSP00000432511	CD79A,H4C6,MDM2,BARD1,PIK3R3,GAB1,CDK2,CYP11A1,PML,NCOR1,ERBB2,NCKIPSD,WRN,FEN1,RMI2,SUZ12,EZH2,FGF8,CD28,H3C13,RAD51C,HIP1,FIP1L1,FOXO3,RPL3,ARID4A,FGFR1OP,SHOC2,PIM1,CARS1,FGF9,CD79B,UBA52,HLA-B,TBL1XR1,MAP2K4,FAM131B,TCEA1,JAK3	1.61e-11	7.35e-09	Disease
RCTM	HSA-9006925	17	306	9606	9606.ENSP00000239938,9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000264110,9606.ENSP00000268058,9606.ENSP00000269571,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000324890,9606.ENSP00000339527,9606.ENSP00000371790,9606.ENSP00000383295,9606.ENSP00000388107,9606.ENSP00000457991	EGR1,MDM2,PIK3R3,GAB1,ATF2,PML,ERBB2,RPTOR,SUZ12,EZH2,FGF8,CD28,FOXO3,FGF9,NBEA,UBA52,PHLPP2	8.39e-11	3.19e-08	Intracellular signaling by second messengers
RCTM	HSA-1257604	16	266	9606	9606.ENSP00000239938,9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000264110,9606.ENSP00000268058,9606.ENSP00000269571,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000324890,9606.ENSP00000339527,9606.ENSP00000371790,9606.ENSP00000388107,9606.ENSP00000457991	EGR1,MDM2,PIK3R3,GAB1,ATF2,PML,ERBB2,RPTOR,SUZ12,EZH2,FGF8,CD28,FOXO3,FGF9,UBA52,PHLPP2	1.03e-10	3.37e-08	PIP3 activates AKT signaling
RCTM	HSA-5663202	18	430	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000321797,9606.ENSP00000324890,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000339527,9606.ENSP00000355812,9606.ENSP00000358464,9606.ENSP00000362608,9606.ENSP00000369897,9606.ENSP00000371790,9606.ENSP00000388107,9606.ENSP00000405574,9606.ENSP00000410603	MDM2,PIK3R3,GAB1,NCOR1,ERBB2,FGF8,CD28,HIP1,FIP1L1,FOXO3,FGFR1OP,SHOC2,PIM1,CARS1,FGF9,UBA52,TBL1XR1,FAM131B	1.76e-09	5.02e-07	Diseases of signal transduction by growth factor receptors and second messengers
RCTM	HSA-1266738	28	1108	9606	9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246792,9606.ENSP00000262741,9606.ENSP00000262965,9606.ENSP00000262995,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000333277,9606.ENSP00000338934,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000369129,9606.ENSP00000371790,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000381097,9606.ENSP00000388107,9606.ENSP00000398698,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000478927,9606.ENSP00000498653	EGR2,H4C6,RRAS,PIK3R3,TCF3,GAB1,CDK2,PML,NCOR1,ERBB2,SUZ12,EZH2,EBF1,H3C13,EZR,FOXO3,RPL3,DSP,FGF9,MYH11,ARHGEF12,EPHB1,UBA52,TNF,TBL1XR1,PBX1,YAP1,DEK	2.77e-09	7.02e-07	Developmental Biology
RCTM	HSA-1280215	21	706	9606	9606.ENSP00000053243,9606.ENSP00000229135,9606.ENSP00000239938,9606.ENSP00000262741,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000268058,9606.ENSP00000279146,9606.ENSP00000333277,9606.ENSP00000338010,9606.ENSP00000339527,9606.ENSP00000351255,9606.ENSP00000362608,9606.ENSP00000368632,9606.ENSP00000388107,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000410402,9606.ENSP00000410481,9606.ENSP00000432511,9606.ENSP00000494373	TNFRSF17,IFNG,EGR1,PIK3R3,BIRC3,ATF2,PML,AIP,H3C13,IL21R,FOXO3,STAT4,PIM1,GATA3,UBA52,TNF,HLA-B,MAP2K4,LTB,JAK3,MTAP	2.44e-08	5.58e-06	Cytokine Signaling in Immune system
RCTM	HSA-5633007	11	159	9606	9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000298139,9606.ENSP00000310356,9606.ENSP00000324856,9606.ENSP00000356832,9606.ENSP00000372023,9606.ENSP00000378699,9606.ENSP00000388107	MDM2,BARD1,CDK2,PML,WRN,RMI2,STK11,SGK1,CHEK2,CDK1,UBA52	2.56e-08	5.58e-06	Regulation of TP53 Activity
