category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
DISEASES	DOID:162	55	978	9606	9606.ENSP00000053243,9606.ENSP00000221972,9606.ENSP00000233893,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261503,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000269571,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000292782,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000306522,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000331040,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000336752,9606.ENSP00000339527,9606.ENSP00000354522,9606.ENSP00000356405,9606.ENSP00000357305,9606.ENSP00000358799,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000365858,9606.ENSP00000369897,9606.ENSP00000372023,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000478927,9606.ENSP00000494373,9606.ENSP00000497102,9606.ENSP00000498653	TNFRSF17,CD79A,HSPE1,RRAS2,MDM2,BARD1,SPECC1,TCF3,DGCR8,BIRC3,PATZ1,CDK2,PML,ERBB2,AIP,ARID5B,JAZF1,BUB1B,DCUN1D1,MERTK,WRN,CAMTA1,SUZ12,EZH2,STK11,OLIG2,PTCH1,RAD51C,FIP1L1,FOXO3,TOP1,CDC73,RIT1,RBM15,STIL,PIM1,GATA1,CARS1,CHEK2,SRSF2,CD79B,POU2AF1,AFF1,MYH11,ARHGEF12,TNF,HLA-B,PBX1,FAT1,DDIT3,TCL1A,YAP1,MTAP,CTLA4,DEK	5.71e-35	2.62e-31	Cancer
DISEASES	DOID:14566	57	1101	9606	9606.ENSP00000053243,9606.ENSP00000221972,9606.ENSP00000233893,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261503,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000269571,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000292782,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000306522,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000331040,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000339527,9606.ENSP00000354522,9606.ENSP00000356405,9606.ENSP00000357305,9606.ENSP00000358799,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000365858,9606.ENSP00000369897,9606.ENSP00000372023,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000410603,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000478927,9606.ENSP00000494373,9606.ENSP00000497102,9606.ENSP00000498653	TNFRSF17,CD79A,HSPE1,RRAS2,MDM2,BARD1,SPECC1,TCF3,DGCR8,BIRC3,PATZ1,CDK2,PML,ERBB2,AIP,ARID5B,JAZF1,BUB1B,DCUN1D1,MERTK,WRN,CAMTA1,SUZ12,EZH2,STK11,OLIG2,PTCH1,RAD51C,HIP1,FIP1L1,FOXO3,TOP1,CDC73,RIT1,RBM15,STIL,PIM1,GATA1,CARS1,CHEK2,SRSF2,CD79B,POU2AF1,AFF1,MYH11,ARHGEF12,TNF,HLA-B,PBX1,FAT1,FAM131B,DDIT3,TCL1A,YAP1,MTAP,CTLA4,DEK	1.5e-34	3.44e-31	Disease of cellular proliferation
DISEASES	DOID:0050686	36	757	9606	9606.ENSP00000221972,9606.ENSP00000233893,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000269571,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000298139,9606.ENSP00000306522,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000336752,9606.ENSP00000356405,9606.ENSP00000357305,9606.ENSP00000365858,9606.ENSP00000372023,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000378578,9606.ENSP00000379616,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000451506,9606.ENSP00000478927,9606.ENSP00000494373,9606.ENSP00000497102	CD79A,HSPE1,MDM2,BARD1,DGCR8,BIRC3,CDK2,PML,ERBB2,AIP,ARID5B,JAZF1,WRN,CAMTA1,SUZ12,EZH2,STK11,PTCH1,RAD51C,FIP1L1,CDC73,RIT1,GATA1,CHEK2,SRSF2,CD79B,AFF1,MYH11,TNF,HLA-B,PBX1,FAT1,TCL1A,YAP1,MTAP,CTLA4	5.07e-20	7.76e-17	Organ system cancer
DISEASES	DOID:4	86	6291	9606	9606.ENSP00000053243,9606.ENSP00000221972,9606.ENSP00000229135,9606.ENSP00000233893,9606.ENSP00000242480,9606.ENSP00000246792,9606.ENSP00000246868,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261503,9606.ENSP00000262965,9606.ENSP00000262995,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268053,9606.ENSP00000268058,9606.ENSP00000269571,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000292782,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000306522,9606.ENSP00000306999,9606.ENSP00000307199,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000331040,9606.ENSP00000332353,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000339527,9606.ENSP00000347409,9606.ENSP00000351255,9606.ENSP00000352798,9606.ENSP00000354522,9606.ENSP00000356379,9606.ENSP00000356405,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000358501,9606.ENSP00000358799,9606.ENSP00000360181,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000369897,9606.ENSP00000372023,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000383295,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000410603,9606.ENSP00000431012,9606.ENSP00000432511,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000494373,9606.ENSP00000497102,9606.ENSP00000498653	TNFRSF17,CD79A,IFNG,HSPE1,EGR2,RRAS,SBDS,RRAS2,MDM2,BARD1,SPECC1,TCF3,GAB1,DGCR8,BIRC3,PATZ1,CDK2,CYP11A1,PML,ERBB2,AIP,ARID5B,JAZF1,BUB1B,DCUN1D1,MERTK,WRN,FEN1,CAMTA1,ESCO2,AHSP,SUZ12,EZH2,FGF8,EBF1,STK11,CD28,OLIG2,PTCH1,H3C13,RAD51C,HIP1,FIP1L1,FOXO3,KEL,STAT4,COL18A1,TOP1,ASPM,CDC73,RIT1,SHOC2,CD58,RBM15,SH2D1A,STIL,PIM1,GATA1,GATA3,DSP,CARS1,CHEK2,TFRC,SRSF2,CD79B,POU2AF1,AFF1,MYH11,ARHGEF12,NBEA,PRF1,TNF,HLA-B,TBL1XR1,PBX1,FAT1,FAM131B,ARHGEF10,JAK3,DDIT3,TCL1A,YAP1,HNRNPU,MTAP,CTLA4,DEK	8.66e-14	9.95e-11	Disease
DISEASES	DOID:15	16	317	9606	9606.ENSP00000233893,9606.ENSP00000260947,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000298139,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000372023,9606.ENSP00000376544,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000478927	HSPE1,BARD1,ERBB2,JAZF1,WRN,SUZ12,EZH2,STK11,PTCH1,RAD51C,HIP1,CHEK2,CD79B,TNF,HLA-B,YAP1	1.18e-09	1.08e-06	Reproductive system disease
DISEASES	DOID:2531	13	190	9606	9606.ENSP00000221972,9606.ENSP00000263464,9606.ENSP00000268058,9606.ENSP00000279873,9606.ENSP00000336752,9606.ENSP00000365858,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000378578,9606.ENSP00000379616,9606.ENSP00000398698,9606.ENSP00000405890,9606.ENSP00000451506	CD79A,BIRC3,PML,ARID5B,FIP1L1,GATA1,SRSF2,CD79B,AFF1,MYH11,TNF,PBX1,TCL1A	1.48e-09	1.13e-06	Hematologic cancer
DISEASES	DOID:7	65	4798	9606	9606.ENSP00000221972,9606.ENSP00000229135,9606.ENSP00000233893,9606.ENSP00000242480,9606.ENSP00000246868,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261503,9606.ENSP00000262995,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000266970,9606.ENSP00000268053,9606.ENSP00000268058,9606.ENSP00000269571,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000306522,9606.ENSP00000307199,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000347409,9606.ENSP00000351255,9606.ENSP00000352798,9606.ENSP00000354522,9606.ENSP00000356379,9606.ENSP00000356405,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000358501,9606.ENSP00000360181,9606.ENSP00000360944,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000372023,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000378578,9606.ENSP00000379616,9606.ENSP00000383295,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000410603,9606.ENSP00000431012,9606.ENSP00000432511,9606.ENSP00000451506,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000494373,9606.ENSP00000497102	CD79A,IFNG,HSPE1,EGR2,SBDS,MDM2,BARD1,SPECC1,GAB1,DGCR8,BIRC3,CDK2,CYP11A1,PML,ERBB2,AIP,ARID5B,JAZF1,MERTK,WRN,CAMTA1,AHSP,SUZ12,EZH2,FGF8,EBF1,STK11,CD28,PTCH1,RAD51C,HIP1,FIP1L1,KEL,STAT4,COL18A1,TOP1,ASPM,CDC73,RIT1,SHOC2,CD58,SH2D1A,STIL,GATA1,GATA3,DSP,CHEK2,SRSF2,CD79B,AFF1,MYH11,NBEA,PRF1,TNF,HLA-B,PBX1,FAT1,FAM131B,ARHGEF10,JAK3,TCL1A,YAP1,HNRNPU,MTAP,CTLA4	3.05e-09	2e-06	Disease of anatomical entity
DISEASES	DOID:193	12	167	9606	9606.ENSP00000233893,9606.ENSP00000260947,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000298139,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000336701,9606.ENSP00000372023,9606.ENSP00000376544,9606.ENSP00000399168	HSPE1,BARD1,ERBB2,JAZF1,WRN,SUZ12,EZH2,STK11,RAD51C,CHEK2,CD79B,HLA-B	3.87e-09	2.22e-06	Reproductive organ cancer
DISEASES	DOID:120	9	100	9606	9606.ENSP00000233893,9606.ENSP00000260947,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000316578,9606.ENSP00000324856,9606.ENSP00000336701,9606.ENSP00000372023,9606.ENSP00000399168	HSPE1,BARD1,ERBB2,JAZF1,SUZ12,STK11,RAD51C,CHEK2,HLA-B	6.13e-08	3.13e-05	Female reproductive organ cancer
DISEASES	DOID:1240	9	104	9606	9606.ENSP00000268058,9606.ENSP00000279873,9606.ENSP00000336752,9606.ENSP00000365858,9606.ENSP00000376276,9606.ENSP00000378578,9606.ENSP00000379616,9606.ENSP00000405890,9606.ENSP00000451506	PML,ARID5B,FIP1L1,GATA1,SRSF2,AFF1,MYH11,PBX1,TCL1A	8.38e-08	3.85e-05	Leukemia
