category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
HPO	HP:0002664	28	763	9606	9606.ENSP00000221972,9606.ENSP00000246868,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000262965,9606.ENSP00000269571,9606.ENSP00000279146,9606.ENSP00000287598,9606.ENSP00000298139,9606.ENSP00000306999,9606.ENSP00000321797,9606.ENSP00000324856,9606.ENSP00000330349,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000352798,9606.ENSP00000356405,9606.ENSP00000358464,9606.ENSP00000360181,9606.ENSP00000360944,9606.ENSP00000365858,9606.ENSP00000372023,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000379616,9606.ENSP00000398568,9606.ENSP00000494373	CD79A,SBDS,RRAS2,MDM2,BARD1,TCF3,ERBB2,AIP,BUB1B,WRN,ESCO2,FGF8,STK11,DDX41,PTCH1,RAD51C,COL18A1,CDC73,SHOC2,SH2D1A,STIL,GATA1,CHEK2,SRSF2,CD79B,MYH11,PRF1,MTAP	6.29e-13	7.68e-09	Neoplasm
HPO	HP:0011793	27	732	9606	9606.ENSP00000221972,9606.ENSP00000246868,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000262965,9606.ENSP00000269571,9606.ENSP00000279146,9606.ENSP00000287598,9606.ENSP00000298139,9606.ENSP00000306999,9606.ENSP00000321797,9606.ENSP00000324856,9606.ENSP00000330349,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000356405,9606.ENSP00000358464,9606.ENSP00000360181,9606.ENSP00000360944,9606.ENSP00000365858,9606.ENSP00000372023,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000379616,9606.ENSP00000398568,9606.ENSP00000494373	CD79A,SBDS,RRAS2,MDM2,BARD1,TCF3,ERBB2,AIP,BUB1B,WRN,ESCO2,FGF8,STK11,DDX41,PTCH1,RAD51C,CDC73,SHOC2,SH2D1A,STIL,GATA1,CHEK2,SRSF2,CD79B,MYH11,PRF1,MTAP	1.55e-12	9.45e-09	Neoplasm by anatomical site
HPO	HP:0011123	20	479	9606	9606.ENSP00000221972,9606.ENSP00000246868,9606.ENSP00000256196,9606.ENSP00000262965,9606.ENSP00000283928,9606.ENSP00000310356,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000383295,9606.ENSP00000398568,9606.ENSP00000432511,9606.ENSP00000497102	CD79A,SBDS,RRAS2,TCF3,JAZF1,RMI2,CD28,DDX41,RIT1,SHOC2,GATA1,GATA3,DSP,TFRC,SRSF2,CD79B,NBEA,PRF1,JAK3,CTLA4	2.11e-10	8.57e-07	Inflammatory abnormality of the skin
HPO	HP:0002715	36	1682	9606	9606.ENSP00000221972,9606.ENSP00000246868,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000262965,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000306999,9606.ENSP00000310356,9606.ENSP00000321797,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000338010,9606.ENSP00000352798,9606.ENSP00000356405,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000360181,9606.ENSP00000360944,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000379616,9606.ENSP00000383295,9606.ENSP00000398568,9606.ENSP00000399168,9606.ENSP00000432511,9606.ENSP00000494373,9606.ENSP00000497102	CD79A,SBDS,RRAS2,MDM2,TCF3,ERBB2,JAZF1,BUB1B,ESCO2,RMI2,FGF8,STK11,CD28,DDX41,PTCH1,RAD51C,IL21R,COL18A1,CDC73,RIT1,SHOC2,SH2D1A,STIL,GATA1,GATA3,DSP,TFRC,SRSF2,CD79B,MYH11,NBEA,PRF1,HLA-B,JAK3,MTAP,CTLA4	7.73e-10	2.36e-06	Abnormality of the immune system
HPO	HP:0011122	20	524	9606	9606.ENSP00000221972,9606.ENSP00000246868,9606.ENSP00000256196,9606.ENSP00000262965,9606.ENSP00000283928,9606.ENSP00000310356,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000383295,9606.ENSP00000398568,9606.ENSP00000432511,9606.ENSP00000497102	CD79A,SBDS,RRAS2,TCF3,JAZF1,RMI2,CD28,DDX41,RIT1,SHOC2,GATA1,GATA3,DSP,TFRC,SRSF2,CD79B,NBEA,PRF1,JAK3,CTLA4	9.48e-10	2.36e-06	Abnormality of skin physiology
HPO	HP:0001574	42	2266	9606	9606.ENSP00000221972,9606.ENSP00000246868,9606.ENSP00000256196,9606.ENSP00000262965,9606.ENSP00000268053,9606.ENSP00000279146,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000306999,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000352798,9606.ENSP00000356379,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000360944,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000369328,9606.ENSP00000369897,9606.ENSP00000371790,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000379616,9606.ENSP00000383295,9606.ENSP00000398568,9606.ENSP00000405574,9606.ENSP00000419153,9606.ENSP00000432511,9606.ENSP00000494373,9606.ENSP00000497102	CD79A,SBDS,RRAS2,TCF3,CYP11A1,AIP,JAZF1,BUB1B,MERTK,WRN,ESCO2,RMI2,SUZ12,EZH2,FGF8,STK11,CD28,DDX41,PTCH1,RAD51C,COL18A1,ASPM,RIT1,SHOC2,STIL,GATA1,GATA3,DSP,LINGO2,CARS1,FGF9,TFRC,SRSF2,CD79B,MYH11,NBEA,PRF1,TBL1XR1,ZBTB20,JAK3,MTAP,CTLA4	1.47e-09	2.98e-06	Abnormality of the integument
HPO	HP:0000769	16	334	9606	9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000268053,9606.ENSP00000279146,9606.ENSP00000298139,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000324856,9606.ENSP00000336701,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000372023,9606.ENSP00000405574,9606.ENSP00000419153	RRAS2,MDM2,BARD1,CYP11A1,AIP,WRN,SUZ12,EZH2,FGF8,STK11,RAD51C,RIT1,SHOC2,CHEK2,TBL1XR1,ZBTB20	2.41e-09	4.2e-06	Abnormality of the breast
HPO	HP:0012649	26	981	9606	9606.ENSP00000221972,9606.ENSP00000246868,9606.ENSP00000256196,9606.ENSP00000262965,9606.ENSP00000283928,9606.ENSP00000310356,9606.ENSP00000321797,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000332353,9606.ENSP00000338010,9606.ENSP00000356405,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000360181,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000383295,9606.ENSP00000398568,9606.ENSP00000432511,9606.ENSP00000494373,9606.ENSP00000497102	CD79A,SBDS,RRAS2,TCF3,JAZF1,RMI2,FGF8,CD28,DDX41,PTCH1,IL21R,CDC73,RIT1,SHOC2,SH2D1A,GATA1,GATA3,DSP,TFRC,SRSF2,CD79B,NBEA,PRF1,JAK3,MTAP,CTLA4	4.34e-09	6.62e-06	Increased inflammatory response
HPO	HP:0010978	30	1347	9606	9606.ENSP00000221972,9606.ENSP00000246868,9606.ENSP00000256196,9606.ENSP00000262965,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000310356,9606.ENSP00000321797,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000338010,9606.ENSP00000356405,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000360181,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000379616,9606.ENSP00000383295,9606.ENSP00000398568,9606.ENSP00000432511,9606.ENSP00000494373,9606.ENSP00000497102	CD79A,SBDS,RRAS2,TCF3,ERBB2,JAZF1,BUB1B,RMI2,FGF8,CD28,DDX41,PTCH1,RAD51C,IL21R,CDC73,RIT1,SHOC2,SH2D1A,GATA1,GATA3,DSP,TFRC,SRSF2,CD79B,MYH11,NBEA,PRF1,JAK3,MTAP,CTLA4	1.17e-08	1.31e-05	Abnormality of immune system physiology
HPO	HP:0032251	19	545	9606	9606.ENSP00000221972,9606.ENSP00000246868,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000262965,9606.ENSP00000287598,9606.ENSP00000324856,9606.ENSP00000330349,9606.ENSP00000336701,9606.ENSP00000360181,9606.ENSP00000365858,9606.ENSP00000369129,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000398568,9606.ENSP00000399168,9606.ENSP00000432511,9606.ENSP00000497102	CD79A,SBDS,RRAS2,MDM2,TCF3,BUB1B,STK11,DDX41,RAD51C,SH2D1A,GATA1,DSP,TFRC,SRSF2,CD79B,PRF1,HLA-B,JAK3,CTLA4	1.07e-08	1.31e-05	Abnormal immune system morphology
