category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
Keyword	KW-0656	28	225	9606	9606.ENSP00000053243,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000261503,9606.ENSP00000262965,9606.ENSP00000266269,9606.ENSP00000268058,9606.ENSP00000283928,9606.ENSP00000292782,9606.ENSP00000294129,9606.ENSP00000295408,9606.ENSP00000316578,9606.ENSP00000331040,9606.ENSP00000339527,9606.ENSP00000354522,9606.ENSP00000358799,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000369897,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000405890,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000478927,9606.ENSP00000498653	TNFRSF17,RRAS2,MDM2,SPECC1,TCF3,PATZ1,PML,JAZF1,DCUN1D1,NCKIPSD,MERTK,SUZ12,OLIG2,FOXO3,TOP1,RBM15,STIL,PIM1,CARS1,POU2AF1,AFF1,MYH11,ARHGEF12,PBX1,DDIT3,TCL1A,YAP1,DEK	5.4e-26	3.63e-23	Proto-oncogene
Keyword	KW-0160	29	312	9606	9606.ENSP00000053243,9606.ENSP00000244537,9606.ENSP00000261503,9606.ENSP00000262965,9606.ENSP00000263464,9606.ENSP00000266269,9606.ENSP00000268058,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000294129,9606.ENSP00000316578,9606.ENSP00000331040,9606.ENSP00000336747,9606.ENSP00000338010,9606.ENSP00000339527,9606.ENSP00000354522,9606.ENSP00000355812,9606.ENSP00000358799,9606.ENSP00000360944,9606.ENSP00000369897,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000405890,9606.ENSP00000428426,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000498653	TNFRSF17,H4C6,SPECC1,TCF3,BIRC3,PATZ1,PML,ERBB2,JAZF1,NCKIPSD,SUZ12,OLIG2,HIP1,IL21R,FOXO3,TOP1,FGFR1OP,RBM15,STIL,CARS1,POU2AF1,AFF1,MYH11,ARHGEF12,PBX1,TCEA1,DDIT3,TCL1A,DEK	1.3e-23	4.38e-21	Chromosomal rearrangement
Keyword	KW-0539	77	5278	9606	9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000261503,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000292782,9606.ENSP00000294129,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000306522,9606.ENSP00000306999,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000330349,9606.ENSP00000331040,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000354522,9606.ENSP00000356379,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000358464,9606.ENSP00000358799,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000372023,9606.ENSP00000375899,9606.ENSP00000376276,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000410402,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000457991,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000494373,9606.ENSP00000498653	ELL2,EGR1,EGR2,H4C6,SBDS,JUND,MDM2,BARD1,KLF3,SPECC1,TCF3,DGCR8,BIRC3,ATF2,POLQ,PATZ1,CDK2,PML,NCOR1,ERBB2,ARID5B,JAZF1,BUB1B,DCUN1D1,NCKIPSD,WRN,FEN1,CAMTA1,ESCO2,RMI2,SUZ12,EZH2,EBF1,STK11,DDX41,OLIG2,H3C13,RAD51C,HIP1,FIP1L1,FOXO3,RPL3,ARID4A,STAT4,ZNF429,TOP1,ASPM,CDC73,SGK1,SHOC2,RBM15,PIM1,ID3,GATA1,GATA3,CHEK2,SP140,SRSF2,POU2AF1,AFF1,CDK1,RPAIN,UBA52,TBL1XR1,PBX1,FAT1,MAP2K4,TOP2A,ZBTB20,TCEA1,DDIT3,TCL1A,PHLPP2,YAP1,HNRNPU,MTAP,DEK	2.88e-13	6.45e-11	Nucleus
Keyword	KW-0597	97	8122	9606	9606.ENSP00000221972,9606.ENSP00000233893,9606.ENSP00000237853,9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000261503,9606.ENSP00000262741,9606.ENSP00000262965,9606.ENSP00000262995,9606.ENSP00000263209,9606.ENSP00000264110,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000275015,9606.ENSP00000275364,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000291574,9606.ENSP00000294129,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000305699,9606.ENSP00000306105,9606.ENSP00000306999,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000332353,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000338934,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347409,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000352798,9606.ENSP00000354522,9606.ENSP00000355812,9606.ENSP00000356379,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000358799,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000364589,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000369897,9606.ENSP00000372023,9606.ENSP00000375899,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000381097,9606.ENSP00000383295,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405574,9606.ENSP00000410402,9606.ENSP00000410603,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000431012,9606.ENSP00000432511,9606.ENSP00000448665,9606.ENSP00000457991,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000497102,9606.ENSP00000498653	CD79A,HSPE1,ELL2,H4C6,JUND,RRAS2,MDM2,BARD1,KLF3,SPECC1,PIK3R3,TCF3,GAB1,DGCR8,ATF2,PATZ1,CDK2,PML,NCOR1,ERBB2,NFKBIE,GNA12,AIP,ARID5B,JAZF1,BUB1B,TRAPPC10,NCKIPSD,MERTK,WRN,HSPA4,FEN1,HOOK3,CEP89,ESCO2,RPTOR,RMI2,SUZ12,EZH2,STK11,CD28,DDX41,PTCH1,H3C13,RAD51C,HIP1,FIP1L1,EZR,FOXO3,RPL3,KEL,ARID4A,STAT4,ZNF429,COL18A1,TOP1,FGFR1OP,ASPM,CDC73,SGK1,RBM15,STIL,PIM1,CUL4A,GATA1,GATA3,DSP,CARS1,CHEK2,SP140,TFRC,SRSF2,CD79B,AFF1,CDK1,MYH11,ARHGEF12,EPHB1,NBEA,RPAIN,UBA52,TNF,HLA-B,TBL1XR1,MAP2K4,FAM131B,TOP2A,ZBTB20,TCEA1,ARHGEF10,JAK3,DDIT3,PHLPP2,YAP1,HNRNPU,CTLA4,DEK	1.45e-12	2.43e-10	Phosphoprotein
Keyword	KW-0832	46	2399	9606	9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000266269,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000279873,9606.ENSP00000287598,9606.ENSP00000298139,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000330349,9606.ENSP00000332353,9606.ENSP00000333277,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000354522,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000358799,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000364589,9606.ENSP00000365858,9606.ENSP00000372023,9606.ENSP00000376786,9606.ENSP00000378699,9606.ENSP00000381097,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000405574,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215	ELL2,EGR1,EGR2,H4C6,MDM2,BARD1,KLF3,TCF3,DGCR8,BIRC3,PATZ1,PML,NCOR1,ARID5B,BUB1B,WRN,SUZ12,EZH2,EBF1,DDX41,PTCH1,H3C13,FOXO3,RPL3,ARID4A,TOP1,CDC73,SGK1,RBM15,STIL,PIM1,CUL4A,GATA1,CHEK2,POU2AF1,CDK1,EPHB1,RPAIN,UBA52,TBL1XR1,TOP2A,ZBTB20,TCEA1,DDIT3,YAP1,HNRNPU	5.45e-11	7.33e-09	Ubl conjugation
Keyword	KW-0010	20	684	9606	9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000252818,9606.ENSP00000261438,9606.ENSP00000264110,9606.ENSP00000268058,9606.ENSP00000269571,9606.ENSP00000279873,9606.ENSP00000306522,9606.ENSP00000322898,9606.ENSP00000336747,9606.ENSP00000339527,9606.ENSP00000351255,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215	EGR1,EGR2,JUND,KLF3,ATF2,PML,ERBB2,ARID5B,CAMTA1,EBF1,HIP1,FOXO3,STAT4,GATA1,GATA3,TBL1XR1,PBX1,DDIT3,YAP1,HNRNPU	7.16e-08	8.02e-06	Activator
Keyword	KW-0090	10	145	9606	9606.ENSP00000239938,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000320147,9606.ENSP00000354522,9606.ENSP00000363689,9606.ENSP00000364589,9606.ENSP00000378699,9606.ENSP00000411532,9606.ENSP00000491215	EGR1,PML,NCOR1,EZH2,TOP1,ID3,CUL4A,CDK1,TOP2A,HNRNPU	1.16e-07	1.11e-05	Biological rhythms
Keyword	KW-1017	31	1717	9606	9606.ENSP00000239938,9606.ENSP00000244537,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000266269,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000279873,9606.ENSP00000298139,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000330349,9606.ENSP00000332353,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000354522,9606.ENSP00000356405,9606.ENSP00000358799,9606.ENSP00000364589,9606.ENSP00000365858,9606.ENSP00000378699,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000405574,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000491215	EGR1,H4C6,BARD1,KLF3,TCF3,DGCR8,PATZ1,PML,NCOR1,ARID5B,WRN,SUZ12,EZH2,EBF1,DDX41,PTCH1,RPL3,ARID4A,TOP1,CDC73,RBM15,CUL4A,GATA1,CDK1,RPAIN,UBA52,TBL1XR1,TOP2A,ZBTB20,TCEA1,HNRNPU	6.6e-07	5.54e-05	Isopeptide bond
Keyword	KW-0805	36	2299	9606	9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000252818,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000264110,9606.ENSP00000266269,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000306522,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000331040,9606.ENSP00000336747,9606.ENSP00000339527,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000356405,9606.ENSP00000363689,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000372023,9606.ENSP00000376786,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000448665,9606.ENSP00000478927,9606.ENSP00000491215	ELL2,EGR1,EGR2,JUND,KLF3,TCF3,ATF2,PATZ1,PML,NCOR1,ERBB2,ARID5B,JAZF1,CAMTA1,SUZ12,EZH2,EBF1,OLIG2,HIP1,FOXO3,ARID4A,STAT4,ZNF429,CDC73,ID3,GATA1,GATA3,CHEK2,POU2AF1,TBL1XR1,PBX1,ZBTB20,TCEA1,DDIT3,YAP1,HNRNPU	1.91e-06	0.00014	Transcription regulation
Keyword	KW-0238	32	1971	9606	9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000264110,9606.ENSP00000266269,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000279873,9606.ENSP00000298139,9606.ENSP00000310356,9606.ENSP00000322898,9606.ENSP00000331040,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000339527,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000351280,9606.ENSP00000354522,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000375899,9606.ENSP00000405890,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000448665,9606.ENSP00000491215,9606.ENSP00000498653	EGR1,EGR2,H4C6,JUND,KLF3,TCF3,ATF2,PATZ1,PML,NCOR1,ARID5B,WRN,RMI2,EBF1,OLIG2,H3C13,RAD51C,FOXO3,ARID4A,STAT4,ZNF429,TOP1,GATA1,GATA3,SP140,PBX1,TOP2A,ZBTB20,TCEA1,DDIT3,HNRNPU,DEK	4.01e-06	0.00026	DNA-binding
