category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
NetworkNeighborAL	CL:18395	11	163	9606	"9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000252818,9606.ENSP00000264110,9606.ENSP00000339527,9606.ENSP00000356832,9606.ENSP00000376786,9606.ENSP00000410402,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000457991"	"EGR1,EGR2,JUND,ATF2,FOXO3,SGK1,POU2AF1,MAP2K4,DDIT3,TCL1A,PHLPP2"	3.25E-08	0.00015	"Mixed, incl. Basic-leucine zipper domain, and MAPK signaling pathway"
NetworkNeighborAL	CL:18396	10	140	9606	"9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000252818,9606.ENSP00000264110,9606.ENSP00000339527,9606.ENSP00000356832,9606.ENSP00000410402,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000457991"	"EGR1,EGR2,JUND,ATF2,FOXO3,SGK1,MAP2K4,DDIT3,TCL1A,PHLPP2"	8.53E-08	0.0002	"Mixed, incl. Basic-leucine zipper domain, and MAPK signaling pathway"
NetworkNeighborAL	CL:18504	5	32	9606	"9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000252818,9606.ENSP00000264110,9606.ENSP00000448665"	"EGR1,EGR2,JUND,ATF2,DDIT3"	5.14E-06	0.0065	"Mixed, incl. Basic region leucin zipper, and Early growth response, N-terminal"
NetworkNeighborAL	CL:20714	8	127	9606	"9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000322898,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000405574"	"KLF3,TCF3,PML,NCOR1,EBF1,GATA1,GATA3,TBL1XR1"	4.24E-06	0.0065	"Mixed, incl. Transcription coregulator binding, and Activation of the TFAP2 (AP-2) family of transcription factors"
NetworkNeighborAL	CL:18640	4	18	9606	"9606.ENSP00000339527,9606.ENSP00000356832,9606.ENSP00000451506,9606.ENSP00000457991"	"FOXO3,SGK1,TCL1A,PHLPP2"	1.41E-05	0.0101	"Mixed, incl. AKT phosphorylates targets in the nucleus, and TCL1/MTCP1 superfamily"
NetworkNeighborAL	CL:20715	7	104	9606	"9606.ENSP00000262965,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000322898,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000405574"	"TCF3,PML,NCOR1,EBF1,GATA1,GATA3,TBL1XR1"	1.15E-05	0.0101	"Mixed, incl. Transcription coregulator binding, and Activation of the TFAP2 (AP-2) family of transcription factors"
NetworkNeighborAL	CL:6143	8	156	9606	"9606.ENSP00000260947,9606.ENSP00000264233,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000310356,9606.ENSP00000336701,9606.ENSP00000354522,9606.ENSP00000385814"	"BARD1,POLQ,WRN,FEN1,RMI2,RAD51C,TOP1,RPAIN"	1.77E-05	0.0101	"DNA repair pathways, full network, and HDR through Homologous Recombination (HRR)"
NetworkNeighborAL	CL:17328	7	133	9606	"9606.ENSP00000221972,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000269571,9606.ENSP00000321797,9606.ENSP00000371790,9606.ENSP00000376544"	"CD79A,PIK3R3,GAB1,ERBB2,FGF8,FGF9,CD79B"	5.14E-05	0.0214	"Mixed, incl. Constitutive Signaling by Aberrant PI3K in Cancer, and FCERI mediated Ca+2 mobilization"
NetworkNeighborAL	CL:18397	6	98	9606	"9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000252818,9606.ENSP00000264110,9606.ENSP00000410402,9606.ENSP00000448665"	"EGR1,EGR2,JUND,ATF2,MAP2K4,DDIT3"	8.14E-05	0.031	"Mixed, incl. Basic-leucine zipper domain, and Host-pathogen interaction of human coronaviruses - MAPK signaling"
NetworkNeighborAL	CL:20720	4	34	9606	"9606.ENSP00000262965,9606.ENSP00000322898,9606.ENSP00000365858,9606.ENSP00000368632"	"TCF3,EBF1,GATA1,GATA3"	0.00013	0.0412	"Mixed, incl. Granulocyte differentiation, and RUNX3 regulates p14-ARF"
NetworkNeighborAL	CL:6897	5	67	9606	"9606.ENSP00000258149,9606.ENSP00000262662,9606.ENSP00000266970,9606.ENSP00000372023,9606.ENSP00000378699"	"MDM2,CDKN2C,CDK2,CHEK2,CDK1"	0.00014	0.0412	"Mixed, incl. G1 Phase, and G0 and Early G1"
NetworkNeighborAL	CL:6901	4	33	9606	"9606.ENSP00000262662,9606.ENSP00000266970,9606.ENSP00000372023,9606.ENSP00000378699"	"CDKN2C,CDK2,CHEK2,CDK1"	0.00012	0.0412	"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3), and Cyclin-dependent protein serine/threonine kinase regulator activity"
