category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
PMID	PMID:37656691	16	163	9606	9606.ENSP00000246792,9606.ENSP00000246868,9606.ENSP00000260947,9606.ENSP00000262662,9606.ENSP00000264233,9606.ENSP00000269571,9606.ENSP00000287598,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000324856,9606.ENSP00000330349,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000358464,9606.ENSP00000372023,9606.ENSP00000406229	RRAS,SBDS,BARD1,CDKN2C,POLQ,ERBB2,BUB1B,WRN,FEN1,STK11,DDX41,PTCH1,RAD51C,SHOC2,CHEK2,FAT1	1e-13	3.89e-07	(2023) Investigation of germline variants in Bahraini women with breast cancer using next-generation sequencing based-multigene panel.
PMID	PMID:31883794	17	197	9606	9606.ENSP00000229135,9606.ENSP00000258149,9606.ENSP00000269571,9606.ENSP00000283928,9606.ENSP00000306522,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000331040,9606.ENSP00000332353,9606.ENSP00000336701,9606.ENSP00000368632,9606.ENSP00000372023,9606.ENSP00000398698,9606.ENSP00000410402,9606.ENSP00000432511	IFNG,MDM2,ERBB2,JAZF1,CAMTA1,SUZ12,EZH2,STK11,CD28,OLIG2,PTCH1,RAD51C,GATA3,CHEK2,TNF,MAP2K4,JAK3	1.14e-13	3.89e-07	(2020) A Patient-Derived Glioblastoma Organoid Model and Biobank Recapitulates Inter- and Intra-tumoral Heterogeneity.
PMID	PMID:24792170	16	160	9606	9606.ENSP00000244537,9606.ENSP00000258149,9606.ENSP00000266970,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000298139,9606.ENSP00000310356,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000356405,9606.ENSP00000368632,9606.ENSP00000372023,9606.ENSP00000378699,9606.ENSP00000405890,9606.ENSP00000410402,9606.ENSP00000494373	H4C6,MDM2,CDK2,NCOR1,ERBB2,WRN,RMI2,H3C13,RAD51C,CDC73,GATA3,CHEK2,CDK1,PBX1,MAP2K4,MTAP	7.69e-14	3.89e-07	(2014) A fine-scale dissection of the DNA double-strand break repair machinery and its implications for breast cancer therapy.
PMID	PMID:36016958	12	72	9606	9606.ENSP00000053243,9606.ENSP00000229135,9606.ENSP00000262965,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000324890,9606.ENSP00000333277,9606.ENSP00000339527,9606.ENSP00000351255,9606.ENSP00000376197,9606.ENSP00000398698,9606.ENSP00000497102	TNFRSF17,IFNG,TCF3,EZH2,EBF1,CD28,H3C13,FOXO3,STAT4,TFRC,TNF,CTLA4	4.89e-13	6.19e-07	(2022) B-cell response in solid organ transplantation.
PMID	PMID:34322780	12	80	9606	9606.ENSP00000229135,9606.ENSP00000258149,9606.ENSP00000269571,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000339477,9606.ENSP00000351255,9606.ENSP00000368632,9606.ENSP00000372023,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000497102	IFNG,MDM2,ERBB2,STK11,CD28,ICOSLG,STAT4,GATA3,CHEK2,PRF1,TNF,CTLA4	1.5e-12	8.24e-07	(2021) Breast cancer resistance mechanisms: challenges to immunotherapy.
PMID	PMID:34788920	14	128	9606	9606.ENSP00000239938,9606.ENSP00000263464,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000358501,9606.ENSP00000358799,9606.ENSP00000363689,9606.ENSP00000365858,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000406229,9606.ENSP00000432511	EGR1,BIRC3,SUZ12,EZH2,CD28,DDX41,CD58,RBM15,ID3,GATA1,SRSF2,CD79B,FAT1,JAK3	9.78e-13	8.24e-07	(2021) [Allo-HSCT for acute myeloid leukemia with myelodysplastic-related changes: a clinical analysis].
PMID	PMID:35008340	13	104	9606	9606.ENSP00000053243,9606.ENSP00000221972,9606.ENSP00000263464,9606.ENSP00000268712,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324890,9606.ENSP00000333277,9606.ENSP00000358799,9606.ENSP00000376544,9606.ENSP00000405574,9606.ENSP00000410481,9606.ENSP00000432511	TNFRSF17,CD79A,BIRC3,NCOR1,SUZ12,EZH2,CD28,H3C13,RBM15,CD79B,TBL1XR1,LTB,JAK3	1.39e-12	8.24e-07	(2021) Recent Advances in the Genetic of MALT Lymphomas.
PMID	PMID:32743345	13	104	9606	9606.ENSP00000266970,9606.ENSP00000269571,9606.ENSP00000305480,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000332353,9606.ENSP00000354522,9606.ENSP00000356832,9606.ENSP00000376276,9606.ENSP00000378699,9606.ENSP00000398698,9606.ENSP00000432511,9606.ENSP00000494373	CDK2,ERBB2,FEN1,EZH2,STK11,PTCH1,TOP1,SGK1,SRSF2,CDK1,TNF,JAK3,MTAP	1.39e-12	8.24e-07	(2020) PRMT5 function and targeting in cancer.
PMID	PMID:32882916	16	191	9606	9606.ENSP00000233893,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000274063,9606.ENSP00000298139,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000333277,9606.ENSP00000371790,9606.ENSP00000372023,9606.ENSP00000376544,9606.ENSP00000378699,9606.ENSP00000381097,9606.ENSP00000478927	HSPE1,MDM2,BARD1,SFRP2,WRN,RPTOR,SUZ12,EZH2,FGF8,H3C13,FGF9,CHEK2,CD79B,CDK1,EPHB1,YAP1	9.62e-13	8.24e-07	(2020) Genomics and Functional Genomics of Malignant Pleural Mesothelioma.
PMID	PMID:29642462	15	162	9606	9606.ENSP00000229135,9606.ENSP00000258149,9606.ENSP00000262965,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000322898,9606.ENSP00000331040,9606.ENSP00000360944,9606.ENSP00000368632,9606.ENSP00000378578,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000432511,9606.ENSP00000451506	IFNG,MDM2,TCF3,SUZ12,EZH2,EBF1,OLIG2,STIL,GATA3,AFF1,TBL1XR1,PBX1,FAT1,JAK3,TCL1A	1.35e-12	8.24e-07	(2018) New Challenges in Targeting Signaling Pathways in Acute Lymphoblastic Leukemia by NGS Approaches: An Update.
