category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
TISSUES	BTO:0000580	47	1234	9606	"9606.ENSP00000233893,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000279146,9606.ENSP00000287598,9606.ENSP00000298139,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000306999,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000333277,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000354522,9606.ENSP00000360944,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000399168,9606.ENSP00000405574,9606.ENSP00000406229,9606.ENSP00000411532,9606.ENSP00000428426,9606.ENSP00000432511,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000498653"	"HSPE1,EGR1,EGR2,H4C6,JUND,MDM2,BARD1,KLF3,TCF3,DGCR8,CDK2,PML,NCOR1,ERBB2,AIP,BUB1B,WRN,HSPA4,FEN1,ESCO2,RPTOR,SUZ12,EZH2,STK11,CD28,DDX41,H3C13,FOXO3,RPL3,TOP1,STIL,GATA1,GATA3,TFRC,SRSF2,POU2AF1,AFF1,CDK1,HLA-B,TBL1XR1,FAT1,TOP2A,TCEA1,JAK3,YAP1,HNRNPU,DEK"	1.67E-22	4.06E-19	Blood cancer cell
TISSUES	BTO:0001271	44	1067	9606	"9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000287598,9606.ENSP00000298139,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000306999,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000333277,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000354522,9606.ENSP00000360944,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000399168,9606.ENSP00000405574,9606.ENSP00000406229,9606.ENSP00000411532,9606.ENSP00000428426,9606.ENSP00000432511,9606.ENSP00000478927,9606.ENSP00000491215,9606.ENSP00000498653"	"EGR1,EGR2,H4C6,JUND,MDM2,BARD1,KLF3,TCF3,DGCR8,CDK2,PML,NCOR1,ERBB2,BUB1B,WRN,HSPA4,FEN1,ESCO2,RPTOR,SUZ12,EZH2,STK11,CD28,DDX41,H3C13,FOXO3,RPL3,TOP1,STIL,GATA1,GATA3,TFRC,SRSF2,AFF1,CDK1,HLA-B,TBL1XR1,FAT1,TOP2A,TCEA1,JAK3,YAP1,HNRNPU,DEK"	2.81E-22	4.06E-19	Leukemia cell
TISSUES	BTO:0000744	30	419	9606	"9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000298139,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324890,9606.ENSP00000333277,9606.ENSP00000339527,9606.ENSP00000360944,9606.ENSP00000368632,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000411532,9606.ENSP00000432511,9606.ENSP00000478927,9606.ENSP00000491215"	"EGR1,EGR2,H4C6,JUND,MDM2,BARD1,TCF3,DGCR8,CDK2,PML,NCOR1,WRN,HSPA4,FEN1,RPTOR,SUZ12,EZH2,CD28,H3C13,FOXO3,STIL,GATA3,TFRC,SRSF2,AFF1,CDK1,TOP2A,JAK3,YAP1,HNRNPU"	2.24E-21	1.81E-18	Lymphocytic leukemia cell
TISSUES	BTO:0001546	20	222	9606	"9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000262965,9606.ENSP00000263209,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000302961,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324890,9606.ENSP00000333277,9606.ENSP00000339527,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000432511"	"EGR1,EGR2,H4C6,JUND,MDM2,TCF3,DGCR8,CDK2,PML,HSPA4,SUZ12,EZH2,CD28,H3C13,FOXO3,TFRC,SRSF2,AFF1,CDK1,JAK3"	3.07E-16	1.86E-13	Chronic lymphocytic leukemia cell
TISSUES	BTO:0000583	24	442	9606	"9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000324856,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000354522,9606.ENSP00000364589,9606.ENSP00000365858,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000411532,9606.ENSP00000428426"	"H4C6,JUND,MDM2,KLF3,TCF3,NCOR1,ERBB2,HSPA4,FEN1,RPTOR,SUZ12,EZH2,STK11,FOXO3,RPL3,TOP1,CUL4A,GATA1,TFRC,SRSF2,AFF1,CDK1,TOP2A,TCEA1"	1.17E-14	5.68E-12	Bone marrow cancer cell
TISSUES	BTO:0000426	19	244	9606	"9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000258149,9606.ENSP00000261438,9606.ENSP00000262965,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000365858,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000428426"	"H4C6,JUND,MDM2,KLF3,TCF3,NCOR1,ERBB2,HSPA4,FEN1,SUZ12,EZH2,FOXO3,RPL3,GATA1,TFRC,SRSF2,AFF1,CDK1,TCEA1"	2.11E-14	8.52E-12	Erythroleukemia cell
TISSUES	BTO:0000180	17	322	9606	"9606.ENSP00000244537,9606.ENSP00000252818,9606.ENSP00000263209,9606.ENSP00000266970,9606.ENSP00000269571,9606.ENSP00000302961,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000338934,9606.ENSP00000339527,9606.ENSP00000354522,9606.ENSP00000376197,9606.ENSP00000378699,9606.ENSP00000411532,9606.ENSP00000478927,9606.ENSP00000498653"	"H4C6,JUND,DGCR8,CDK2,ERBB2,HSPA4,RPTOR,SUZ12,EZH2,EZR,FOXO3,TOP1,TFRC,CDK1,TOP2A,YAP1,DEK"	1.78E-10	6.16E-08	Cervical carcinoma cell
TISSUES	BTO:0000000	131	15199	9606	"9606.ENSP00000053243,9606.ENSP00000221972,9606.ENSP00000229135,9606.ENSP00000233893,9606.ENSP00000237696,9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246792,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000261503,9606.ENSP00000262662,9606.ENSP00000262741,9606.ENSP00000262965,9606.ENSP00000262995,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268053,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000273857,9606.ENSP00000274063,9606.ENSP00000275015,9606.ENSP00000275364,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000291574,9606.ENSP00000292782,9606.ENSP00000294129,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000305699,9606.ENSP00000306522,9606.ENSP00000306999,9606.ENSP00000307199,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000331040,9606.ENSP00000332353,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000338010,9606.ENSP00000338934,9606.ENSP00000339477,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000352798,9606.ENSP00000354522,9606.ENSP00000355812,9606.ENSP00000356379,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000358501,9606.ENSP00000358799,9606.ENSP00000360181,9606.ENSP00000360764,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000364589,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000369897,9606.ENSP00000371790,9606.ENSP00000372023,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000381097,9606.ENSP00000383295,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000410402,9606.ENSP00000410481,9606.ENSP00000410603,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000431012,9606.ENSP00000432511,9606.ENSP00000441927,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000457991,9606.ENSP00000478927,9606.ENSP00000480428,9606.ENSP00000491215,9606.ENSP00000494373,9606.ENSP00000497102,9606.ENSP00000498653"	"TNFRSF17,CD79A,IFNG,HSPE1,RARRES1,ELL2,EGR1,EGR2,H4C6,RRAS,SBDS,JUND,RRAS2,MDM2,BARD1,KLF3,SPECC1,CDKN2C,PIK3R3,TCF3,GAB1,DGCR8,BIRC3,ATF2,POLQ,PATZ1,CDK2,CYP11A1,PML,NCOR1,ERBB2,CORIN,SFRP2,NFKBIE,GNA12,AIP,ARID5B,JAZF1,BUB1B,TRAPPC10,DCUN1D1,NCKIPSD,MERTK,WRN,HSPA4,FEN1,HOOK3,CAMTA1,ESCO2,AHSP,RPTOR,RMI2,SUZ12,EZH2,FGF8,EBF1,STK11,CD28,DDX41,OLIG2,PTCH1,H3C13,RAD51C,HIP1,FIP1L1,IL21R,EZR,ICOSLG,FOXO3,RPL3,ARID4A,STAT4,COL18A1,TOP1,FGFR1OP,ASPM,CDC73,SGK1,RIT1,SHOC2,CD58,RBM15,SH2D1A,EGFL7,STIL,PIM1,ID3,CUL4A,HSPA1L,GATA1,GATA3,DSP,CARS1,FGF9,CHEK2,TFRC,SRSF2,CD79B,POU2AF1,AFF1,CDK1,MYH11,ARHGEF12,EPHB1,NBEA,RPAIN,UBA52,PRF1,TNF,HLA-B,TBL1XR1,PBX1,FAT1,MAP2K4,LTB,FAM131B,TOP2A,ZBTB20,TCEA1,ARHGEF10,JAK3,SESN3,DDIT3,TCL1A,PHLPP2,YAP1,B4GALT3,HNRNPU,MTAP,CTLA4,DEK"	4.97E-10	1.51E-07	"Tissues, cell types and enzyme sources"
TISSUES	BTO:0000042	130	15148	9606	"9606.ENSP00000053243,9606.ENSP00000221972,9606.ENSP00000229135,9606.ENSP00000233893,9606.ENSP00000237696,9606.ENSP00000237853,9606.ENSP00000239938,9606.ENSP00000242480,9606.ENSP00000244537,9606.ENSP00000246792,9606.ENSP00000246868,9606.ENSP00000252818,9606.ENSP00000256196,9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000261438,9606.ENSP00000261503,9606.ENSP00000262662,9606.ENSP00000262741,9606.ENSP00000262995,9606.ENSP00000263209,9606.ENSP00000263464,9606.ENSP00000264110,9606.ENSP00000264233,9606.ENSP00000266269,9606.ENSP00000266970,9606.ENSP00000268053,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000269571,9606.ENSP00000273857,9606.ENSP00000274063,9606.ENSP00000275015,9606.ENSP00000275364,9606.ENSP00000279146,9606.ENSP00000279873,9606.ENSP00000283928,9606.ENSP00000287598,9606.ENSP00000291574,9606.ENSP00000292782,9606.ENSP00000294129,9606.ENSP00000295408,9606.ENSP00000298139,9606.ENSP00000302961,9606.ENSP00000305480,9606.ENSP00000305699,9606.ENSP00000306522,9606.ENSP00000306999,9606.ENSP00000307199,9606.ENSP00000307272,9606.ENSP00000310356,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000322898,9606.ENSP00000324856,9606.ENSP00000324890,9606.ENSP00000330349,9606.ENSP00000331040,9606.ENSP00000332353,9606.ENSP00000333277,9606.ENSP00000336701,9606.ENSP00000336747,9606.ENSP00000336752,9606.ENSP00000338010,9606.ENSP00000338934,9606.ENSP00000339477,9606.ENSP00000339527,9606.ENSP00000346001,9606.ENSP00000347602,9606.ENSP00000351255,9606.ENSP00000352798,9606.ENSP00000354522,9606.ENSP00000355812,9606.ENSP00000356379,9606.ENSP00000356405,9606.ENSP00000356832,9606.ENSP00000357305,9606.ENSP00000358464,9606.ENSP00000358501,9606.ENSP00000358799,9606.ENSP00000360181,9606.ENSP00000360764,9606.ENSP00000360944,9606.ENSP00000362608,9606.ENSP00000363689,9606.ENSP00000364589,9606.ENSP00000364805,9606.ENSP00000365858,9606.ENSP00000368632,9606.ENSP00000369129,9606.ENSP00000369897,9606.ENSP00000371790,9606.ENSP00000372023,9606.ENSP00000376197,9606.ENSP00000376276,9606.ENSP00000376544,9606.ENSP00000376786,9606.ENSP00000378578,9606.ENSP00000378699,9606.ENSP00000379616,9606.ENSP00000380942,9606.ENSP00000381097,9606.ENSP00000383295,9606.ENSP00000385814,9606.ENSP00000388107,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000399168,9606.ENSP00000405574,9606.ENSP00000405890,9606.ENSP00000406229,9606.ENSP00000410402,9606.ENSP00000410481,9606.ENSP00000410603,9606.ENSP00000411532,9606.ENSP00000419153,9606.ENSP00000428426,9606.ENSP00000431012,9606.ENSP00000432511,9606.ENSP00000441927,9606.ENSP00000448665,9606.ENSP00000451506,9606.ENSP00000457991,9606.ENSP00000478927,9606.ENSP00000480428,9606.ENSP00000491215,9606.ENSP00000494373,9606.ENSP00000497102,9606.ENSP00000498653"	"TNFRSF17,CD79A,IFNG,HSPE1,RARRES1,ELL2,EGR1,EGR2,H4C6,RRAS,SBDS,JUND,RRAS2,MDM2,BARD1,KLF3,SPECC1,CDKN2C,PIK3R3,GAB1,DGCR8,BIRC3,ATF2,POLQ,PATZ1,CDK2,CYP11A1,PML,NCOR1,ERBB2,CORIN,SFRP2,NFKBIE,GNA12,AIP,ARID5B,JAZF1,BUB1B,TRAPPC10,DCUN1D1,NCKIPSD,MERTK,WRN,HSPA4,FEN1,HOOK3,CAMTA1,ESCO2,AHSP,RPTOR,RMI2,SUZ12,EZH2,FGF8,EBF1,STK11,CD28,DDX41,OLIG2,PTCH1,H3C13,RAD51C,HIP1,FIP1L1,IL21R,EZR,ICOSLG,FOXO3,RPL3,ARID4A,STAT4,COL18A1,TOP1,FGFR1OP,ASPM,CDC73,SGK1,RIT1,SHOC2,CD58,RBM15,SH2D1A,EGFL7,STIL,PIM1,ID3,CUL4A,HSPA1L,GATA1,GATA3,DSP,CARS1,FGF9,CHEK2,TFRC,SRSF2,CD79B,POU2AF1,AFF1,CDK1,MYH11,ARHGEF12,EPHB1,NBEA,RPAIN,UBA52,PRF1,TNF,HLA-B,TBL1XR1,PBX1,FAT1,MAP2K4,LTB,FAM131B,TOP2A,ZBTB20,TCEA1,ARHGEF10,JAK3,SESN3,DDIT3,TCL1A,PHLPP2,YAP1,B4GALT3,HNRNPU,MTAP,CTLA4,DEK"	2.27E-09	6.12E-07	Animal
TISSUES	BTO:0001035	11	125	9606	"9606.ENSP00000229135,9606.ENSP00000261438,9606.ENSP00000324890,9606.ENSP00000336752,9606.ENSP00000354522,9606.ENSP00000365858,9606.ENSP00000376197,9606.ENSP00000378578,9606.ENSP00000398568,9606.ENSP00000398698,9606.ENSP00000405890"	"IFNG,KLF3,CD28,FIP1L1,TOP1,GATA1,TFRC,AFF1,PRF1,TNF,PBX1"	2.46E-09	6.12E-07	Hematopoietic cell line
