category	term	number_of_genes	number_of_genes_in_background	ncbiTaxonId	inputGenes	preferredNames	p_value	fdr	description
WikiPathways	WP3594	11	199	9606	9606.ENSP00000239938,9606.ENSP00000252818,9606.ENSP00000268058,9606.ENSP00000268712,9606.ENSP00000320147,9606.ENSP00000354522,9606.ENSP00000363689,9606.ENSP00000388107,9606.ENSP00000398568,9606.ENSP00000411532,9606.ENSP00000491215	EGR1,JUND,PML,NCOR1,EZH2,TOP1,ID3,UBA52,PRF1,TOP2A,HNRNPU	2.21e-07	0.00014	Circadian rhythm genes
WikiPathways	WP4016	8	81	9606	9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000266970,9606.ENSP00000268058,9606.ENSP00000298139,9606.ENSP00000305480,9606.ENSP00000372023,9606.ENSP00000378699	MDM2,BARD1,CDK2,PML,WRN,FEN1,CHEK2,CDK1	1.76e-07	0.00014	DNA IR-damage and cellular response via ATR
WikiPathways	WP4172	13	336	9606	9606.ENSP00000258149,9606.ENSP00000262741,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000307272,9606.ENSP00000321797,9606.ENSP00000324856,9606.ENSP00000339527,9606.ENSP00000356832,9606.ENSP00000371790,9606.ENSP00000432511,9606.ENSP00000451506,9606.ENSP00000457991	MDM2,PIK3R3,ATF2,CDK2,RPTOR,FGF8,STK11,FOXO3,SGK1,FGF9,JAK3,TCL1A,PHLPP2	8.57e-07	0.00022	PI3K-Akt signaling pathway
WikiPathways	WP382	11	245	9606	9606.ENSP00000246792,9606.ENSP00000252818,9606.ENSP00000256196,9606.ENSP00000264110,9606.ENSP00000275364,9606.ENSP00000321797,9606.ENSP00000364805,9606.ENSP00000371790,9606.ENSP00000398698,9606.ENSP00000410402,9606.ENSP00000448665	RRAS,JUND,RRAS2,ATF2,GNA12,FGF8,HSPA1L,FGF9,TNF,MAP2K4,DDIT3	1.57e-06	0.00031	MAPK signaling pathway
WikiPathways	WP2261	7	82	9606	9606.ENSP00000258149,9606.ENSP00000262662,9606.ENSP00000262995,9606.ENSP00000266970,9606.ENSP00000269571,9606.ENSP00000339527,9606.ENSP00000410402	MDM2,CDKN2C,GAB1,CDK2,ERBB2,FOXO3,MAP2K4	2.63e-06	0.00041	Glioblastoma signaling pathways
WikiPathways	WP5098	7	88	9606	9606.ENSP00000229135,9606.ENSP00000307272,9606.ENSP00000324890,9606.ENSP00000339527,9606.ENSP00000351255,9606.ENSP00000398698,9606.ENSP00000497102	IFNG,RPTOR,CD28,FOXO3,STAT4,TNF,CTLA4	4.08e-06	0.00053	T-cell activation SARS-CoV-2
WikiPathways	WP2263	7	109	9606	9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000262995,9606.ENSP00000266970,9606.ENSP00000307272,9606.ENSP00000372023,9606.ENSP00000378699	MDM2,BARD1,GAB1,CDK2,RPTOR,CHEK2,CDK1	1.53e-05	0.0014	Androgen receptor network in prostate cancer
WikiPathways	WP2516	5	40	9606	9606.ENSP00000258149,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000372023,9606.ENSP00000378699	MDM2,ATF2,CDK2,CHEK2,CDK1	1.38e-05	0.0014	ATM signaling pathway
WikiPathways	WP5087	13	434	9606	9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000264110,9606.ENSP00000266970,9606.ENSP00000274063,9606.ENSP00000307272,9606.ENSP00000316578,9606.ENSP00000320147,9606.ENSP00000321797,9606.ENSP00000371790,9606.ENSP00000410402,9606.ENSP00000448665,9606.ENSP00000478927	MDM2,BARD1,ATF2,CDK2,SFRP2,RPTOR,SUZ12,EZH2,FGF8,FGF9,MAP2K4,DDIT3,YAP1	1.27e-05	0.0014	Malignant pleural mesothelioma
WikiPathways	WP1971	5	44	9606	9606.ENSP00000258149,9606.ENSP00000260947,9606.ENSP00000266970,9606.ENSP00000372023,9606.ENSP00000378699	MDM2,BARD1,CDK2,CHEK2,CDK1	2.11e-05	0.0015	Integrated cancer pathway
